mean_online_duration,mean_offline_duration,strategy,n_runs,far_mean,far_std,far_ci95,delay_mean_mean,delay_mean_std,delay_mean_ci95,bandwidth_mb_mean,bandwidth_mb_std,bandwidth_mb_ci95,bandwidth_per_node_kb_mean,bandwidth_per_node_kb_std,bandwidth_per_node_kb_ci95,expired_ttl_rate_mean,expired_ttl_rate_std,expired_ttl_rate_ci95,coverage_rate_mean,coverage_rate_std,coverage_rate_ci95
300,600,PULL,5,0.14004384580581447,0.0018950647480595706,0.0016610974905824872,24488.499212311435,1066.4452207180755,934.7804510597105,11.703788757324219,0.4883008915929282,0.4280146029336128,23.969359375,1.0000402259823178,0.8765739068080398,0.12994091332661334,0.0019238859900439183,0.0016863604230414923,0.9563614110091354,0.006158761433689671,0.005398392415390195
300,600,PUSH,5,0.09823146372801202,0.0034161208854151487,0.0029943619795048566,1527.2018906326946,6.810553696706703,5.96971352385748,254.7283966064453,23.400979265057167,20.51186270767851,521.6837562500001,47.925205534837055,42.008294825325564,0.10030231294495584,0.0016429398722837673,0.0014401002930495598,0.9973274587136963,0.0026450956254348537,0.0023185285411801843
300,600,GOSSIP,5,0.05244840166585461,0.002986881934602208,0.002618117450242354,16960.02375059314,508.8305573859625,446.00964841489497,45.30415267944336,6.833211455302898,5.9895739249255175,71.37146514423077,10.764936200354105,9.435882614036508,0.09616366156229127,0.011538719389368192,0.010114133483745479,0.961848879249886,0.010007000429995902,0.00877152261923746
300,600,MIXED,5,0.001103307566288667,0.0007280293993772702,0.0006381459048373603,803.6720001923015,7.564553364096866,6.63062337228576,498.7016487121582,43.55898081237644,38.18113011381643,785.646905048077,68.62214823365152,60.14996497930467,0.0014216909937916147,0.0010905038585655395,0.0009558687769315182,0.9986256904876452,0.002257517823772252,0.0019788016192338813
300,3600,PULL,5,0.15113038058840517,0.0030772273029390823,0.0026973086571833293,34571.07037898004,133.68121539087625,117.17675169208583,10.006719207763672,0.45136318752733967,0.39563727778202973,20.4937609375,0.9243918080559915,0.8102651448975968,0.2516887006321181,0.001696835802953761,0.0014873421592075386,0.9408851705106848,0.008616131468365687,0.0075523722212055755
300,3600,PUSH,5,0.10939118297065427,0.003422940933033516,0.0030003400148179626,10368.201029853099,61.276518361082076,53.711236508118255,93.5883415222168,6.086283206647775,5.334862448308892,191.6689234375,12.464708007214647,10.925798294136612,0.10159365104837961,0.00045409600861855663,0.0003980327010843098,0.9796518494952169,0.004953014666921549,0.004341508775605704
300,3600,GOSSIP,5,0.05714115914300483,0.0049198224838436265,0.004312414544353634,17765.49889747166,407.6356465676334,357.30839818470434,42.91867370605469,6.421271370956697,5.628492520673518,67.61341826923078,10.115972129014857,8.867040524876433,0.1321321231941104,0.013091729769052164,0.011475407101010037,0.9665492221366471,0.017029735263948582,0.014927221110093628
300,3600,MIXED,5,0.002557558392034165,0.0007009170770853151,0.0006143809065336641,1540.0767485204776,9.91998004569165,8.695245889302337,493.4071952819824,37.58446927944239,32.9442398571776,777.3061045673076,59.20999468022923,51.89984863653824,0.0017204027087038792,0.001165506149509522,0.001021611183570951,0.9970022554616639,0.002313551133996063,0.002027916981174473
300,14400,PULL,5,0.1873878137976813,0.006694760224819365,0.005868216070657087,77556.52849883989,1154.7949331606749,1012.2223884828811,6.627497863769531,0.3312079792705899,0.29031659408503707,13.573115625,0.6783139415461676,0.5945683846861555,0.5055839513534155,0.003959306790932815,0.0034704854182945103,0.8701387842312996,0.022231565819192146,0.01948682662784598
300,14400,PUSH,5,0.14072203299731428,0.00689080796956815,0.006040059495621861,42353.29415338612,370.93257638660157,325.13673870087314,28.305783081054688,1.977743942338922,1.7335689996860355,57.970243749999995,4.050419593910108,3.5503493113569973,0.22842744124987222,0.0028829311928727495,0.0025270006077134657,0.9328177645692873,0.013269846464753448,0.011631533268500197
