network_size,strategy,contact_rate,n_runs,delay_mean_mean,delay_mean_ci95,delay_p95_mean,delay_p95_ci95,far_mean,far_ci95,bandwidth_per_node_kb_mean,bandwidth_per_node_kb_ci95,coverage_rate_mean,coverage_rate_ci95
100,PULL,0.008333333333333333,3,54843.45525004976,8346.958525018345,65972.39883477187,12567.115636483075,0.4913652436588216,0.031131354033956234,0.4975390625,0.0408593004998524,0.39302613513778556,0.04156979761965791
100,PUSH,0.008333333333333333,3,39507.84288586083,6010.428938170434,47886.99624812442,8104.554123107661,0.27979971099237155,0.04881578318772351,5.704947916666668,1.0069409897911883,0.5934036971658331,0.07399034116369173
100,GOSSIP,0.008333333333333333,3,25478.86138531682,15194.40955837386,48153.90015920842,28543.273676397792,0.6180691965020436,0.2845908796234095,0.8536157852564102,0.25773737153058013,0.69511253309797,0.26708320946094494
100,MIXED,0.008333333333333333,3,223.43258960418643,11.808294947280986,294.0888966423202,23.085989891397723,0.0030581039755351682,0.005993883792048931,32.34236778846154,5.387787198136925,0.9967637540453075,0.006343042071197408
300,PULL,0.002777777777777778,3,52914.86312580455,5355.638955534408,63655.00756061226,3990.203220922315,0.4918835917949951,0.09560935511398483,0.48733506944444444,0.029247232546817478,0.4143892424366573,0.025969049341783342
300,PUSH,0.002777777777777778,3,36624.85633102453,2183.6766228229408,41596.913705314546,1985.9316461870624,0.2847433739386788,0.05989260125772686,5.129522569444444,0.7211626912918601,0.612804195231202,0.051037719976480996
300,GOSSIP,0.002777777777777778,3,19890.049926324664,4231.985593772026,37345.0755500264,7976.326361490944,0.37885046886829415,0.12641190962311039,1.2062934027777779,0.09399949278744528,0.788969309625907,0.1644264522332155
300,MIXED,0.002777777777777778,3,669.4457846114469,22.196918544469185,794.1303101787853,34.107312179593954,0.0030864197530864196,0.006049382716049383,25.375864716880344,3.90396766110702,0.992426187419769,0.007482153458655425
500,PULL,0.0016666666666666668,3,54200.57293379717,6117.303382229798,63253.65176463046,6258.567811290324,0.43531198887321915,0.0362071950007869,0.5023515625,0.037279382209515974,0.39784053156146176,0.09112779259291647
500,PUSH,0.0016666666666666668,3,38087.568691375236,2680.9836735865388,43754.43057260322,4254.305712610954,0.24564194609882786,0.03074297296646725,5.105760416666667,0.894477396075888,0.6479467991095897,0.11529328245914723
500,GOSSIP,0.0016666666666666668,3,19593.707080710108,1113.6735242974983,32766.869192989514,2426.12464051274,0.40209745554573145,0.0757768176125669,1.4651021634615384,0.10874661771363615,0.7708452185196372,0.028567178602079805
500,MIXED,0.0016666666666666668,3,1132.5377612778962,10.963748473447179,1296.8633815961075,38.6367759810484,0.016524216524216526,0.019375914007338492,21.96336939102564,3.8282327927218196,0.9883720930232558,0.022790697674418575
1000,PULL,0.0008333333333333334,3,54248.81683304444,3167.4699467791793,65188.20545164546,1555.9838774725088,0.5325915820767079,0.0602476388009501,0.49532421875,0.038559163749459356,0.387019764447945,0.058968773641979354
1000,PUSH,0.0008333333333333334,3,38563.5860377265,1558.000767191123,41154.135776685645,711.7194962638215,0.29981517338496744,0.049180698465779986,5.062743489583333,0.7896447560158346,0.6079481545965814,0.1363935771878584
1000,GOSSIP,0.0008333333333333334,3,20843.15951036714,1073.5788453828852,35059.15279636153,1401.9204548884795,0.3977252196764392,0.056975325141615324,2.228293269230769,0.036200831149453806,0.8001929923954547,0.025248742656932516
1000,MIXED,0.0008333333333333334,3,2176.825881458315,32.35928926893965,2482.9546342837816,51.550269144374745,0.014678193613892063,0.010055360940719548,17.293299278846153,2.969374081332077,0.9810835210288015,0.015676184998065786
2000,PULL,0.0004166666666666667,3,55844.73402574553,2155.7558584017897,66520.46887290021,1701.5890845743477,0.47994899817850634,0.07201361030540053,0.49969921875,0.04063333547008114,0.38314379545569693,0.06269310803753116
2000,PUSH,0.0004166666666666667,3,38870.844644389836,811.3686726743816,41302.955832474305,616.1825969159776,0.3074292653309047,0.04327541239760122,5.0296204427083335,0.7499603975344841,0.5946109522032915,0.12954501254682044
2000,GOSSIP,0.0004166666666666667,3,25514.668074484307,1369.910089272903,40506.88742975721,582.8725883255107,0.37912521560151324,0.009912251979190321,2.905779747596154,0.3634377772415049,0.8292560811028663,0.026844433207274063
2000,MIXED,0.0004166666666666667,3,4056.317062042958,88.7902994037233,4495.299250486294,113.91588721302908,0.047946697948377186,0.0076236351711443315,12.62217247596154,1.9024608520004087,0.965997411414648,0.014939773485549757
5000,PULL,0.00016666666666666666,3,56084.41576979466,736.9927483280965,66929.23983589336,693.0665372673354,0.4863234111021722,0.031242866407692353,0.4760291666666667,0.03347033702277405,0.35373900293255134,0.03120476562363298
5000,PUSH,0.00016666666666666666,3,39701.79347771643,427.02329252309346,41476.7838125505,703.650316524106,0.30705719590370184,0.02857118355595422,5.1402588541666665,0.4171987908086533,0.5146016617790812,0.08817802530236027
5000,GOSSIP,0.00016666666666666666,3,40391.88092407646,860.3455655227208,55671.98238723426,1973.4199912914355,0.6425805915586574,0.06498854378713426,1.9901041666666666,0.21152870302720939,0.5650150700553926,0.11344310204797325
5000,MIXED,0.00016666666666666666,3,8193.252086778431,172.01173818227582,8949.470147069087,389.9075276466203,0.07647335770466378,0.01840102113646554,8.225983373397435,0.6825083279342838,0.9029203323558163,0.01728838636838858
10000,PULL,8.333333333333333e-05,3,55470.17965868355,873.8680239371582,66029.23983589336,896.8921850788929,0.47824428490959053,0.028223776001087615,0.476864453125,0.03244352331620328,0.35373900293255134,0.03120476562363298
10000,PUSH,8.333333333333333e-05,3,39312.31893770435,413.0984922656929,40560.9529743679,477.361612580551,0.3027733357528193,0.020202993054258447,5.163244661458333,0.43852481302034413,0.5215461062235256,0.10173505683371536
10000,GOSSIP,8.333333333333333e-05,3,67394.3608547839,1759.6331575109575,81581.84160200493,418.9758550754623,0.7682797791742746,0.0450856435824543,0.8206787860576923,0.07927320681833008,0.3463668947539915,0.03620850721930869
10000,MIXED,8.333333333333333e-05,3,12382.992200717665,202.46981740855185,13415.196099662453,150.95387064743403,0.1272604391870447,0.01528637925771283,6.402929186698717,0.5370355930023444,0.8412145650048877,0.023554447147942078
