sweep_dim,sweep_value,strategy,far_mean,far_std,far_ci95,delay_mean_mean,delay_mean_std,delay_mean_ci95,bandwidth_mb_mean,bandwidth_mb_std,bandwidth_mb_ci95,bandwidth_per_node_kb_mean,bandwidth_per_node_kb_std,bandwidth_per_node_kb_ci95,expired_ttl_rate_mean,expired_ttl_rate_std,expired_ttl_rate_ci95,coverage_rate_mean,coverage_rate_std,coverage_rate_ci95,n_runs
network_size,50,PULL,,,,,,,,,,,,,,,,,,,0
network_size,50,PUSH,,,,,,,,,,,,,,,,,,,0
network_size,50,GOSSIP,0.07547298802346775,0.01881889682842581,0.016495490367406797,27069.649404334068,5057.061170630961,4432.709557210953,1.711395263671875,0.15733564509951262,0.1379107735087064,26.96105769230769,2.47864154741386,2.172625108814082,0.439600834697443,0.032370056147053496,0.028373605224276243,1.0,0.0,0.0,5
network_size,50,MIXED,0.00016033221105066561,0.00016847735883705647,0.000147676916195479,113.42765440999833,1.6765611305359274,1.469570625274395,46.168783569335936,0.3654340426143694,0.32031706134668764,727.3359134615384,5.756991686724848,5.04622570490783,0.11640204998700965,0.04565482127509995,0.040018215277717026,1.0,0.0,0.0,5
network_size,100,PULL,,,,,,,,,,,,,,,,,,,0
network_size,100,PUSH,,,,,,,,,,,,,,,,,,,0
network_size,100,GOSSIP,0.06832880877634719,0.005299207157979494,0.0046449598733814814,21586.526763868955,1960.2999192091793,1718.2786392505157,4.7502899169921875,0.21600209029183903,0.18933418001244298,37.417668269230774,1.7014318496834078,1.491370771790319,0.2912522371840835,0.03467241500625838,0.030391711744046392,0.9526448091629163,0.018701167915946042,0.01639229642572782,5
network_size,100,MIXED,0.0003486894139300697,0.00025035332119817513,0.00021944436148004778,231.21820754156178,5.324314315734165,4.666967267474293,130.1220390319824,9.269153666618505,8.124771415440556,1024.9612920673076,73.01241042013349,63.99819945700872,0.0005460608895500704,0.00021473613662231566,0.0001882245226955665,0.9993527508090615,0.001447293189320235,0.001268608414239467,5
network_size,200,PULL,,,,,,,,,,,,,,,,,,,0
network_size,200,PUSH,,,,,,,,,,,,,,,,,,,0
network_size,200,GOSSIP,0.06767235719291437,0.019592035480462212,0.017173176275545293,20611.65319367914,5413.2090543965,4744.886941442788,11.254402923583985,1.3649691938462571,1.1964482506162608,44.32503305288461,5.375878671148338,4.712165417811737,0.23744106792200217,0.10595518645405523,0.09287381579613349,0.9854584721481124,0.011835535297269434,0.010374304098118714,5
