sweep_dim,sweep_value,strategy,n_runs,far_mean,far_std,far_ci95,delay_mean_mean,delay_mean_std,delay_mean_ci95,bandwidth_mb_mean,bandwidth_mb_std,bandwidth_mb_ci95,bandwidth_per_node_kb_mean,bandwidth_per_node_kb_std,bandwidth_per_node_kb_ci95,expired_ttl_rate_mean,expired_ttl_rate_std,expired_ttl_rate_ci95,coverage_rate_mean,coverage_rate_std,coverage_rate_ci95
mean_offline_duration,600,PULL,10,0.14095659406231387,0.006147647003903431,0.003810351089476798,17933.22142048835,1810.9559729969837,1122.4421409235429,11.989992141723633,0.6049013723108776,0.37492175486772117,24.55550390625,1.238838010492677,0.7678397539690928,0.10818915262015445,0.000978128124306497,0.0006062500923902596,0.9712490007879684,0.009737435669917537,0.006035325156116161
mean_offline_duration,600,PUSH,10,0.10021285603518149,0.004647344487347325,0.0028804539556832424,602.6832874403773,6.368961800413655,3.9475234215031207,328.5094997406006,28.4790474060055,17.651496457397933,672.78745546875,58.32508908749924,36.15026474475095,0.10001179117272707,0.0008835004837180519,0.0005475992731122722,0.9985053463408523,0.0024278366684992044,0.0015047887572292007
mean_offline_duration,600,GOSSIP,10,0.05253856890559573,0.004770184492816543,0.0029565909798770153,16844.159428413976,220.24938347880428,136.51198218801272,37.91819534301758,2.7213912379009813,1.6867357643736798,59.73574158653845,4.2872378886317,2.657257573413305,0.0838697502535459,0.005087822968135615,0.0031534653465612583,0.9831771995248714,0.009366860125648191,0.005805640054166813
mean_offline_duration,600,MIXED,10,0.0004471585117912208,0.0002692266510438896,0.00016686840712713583,164.84708600366912,3.120024884474484,1.933811458303245,454.9226306915283,37.34662843154221,23.147680119248328,716.6781135817307,58.83530386753726,36.46649914170814,0.0014005359945419447,0.000874435495455656,0.0005419807351773871,0.9998447204968943,0.000491036903752846,0.0003043478260869516
mean_offline_duration,1800,PULL,10,0.14363834611082335,0.0036723680325538525,0.002276157288295264,24376.564725924214,746.5719700805637,462.73010108795773,11.800556182861328,0.5050312172294398,0.31302159144273106,24.167539062500005,1.0343039328858918,0.6410682192747126,0.1259121686743271,0.0008619789041822043,0.0005342600599174337,0.9519455243114947,0.006691659325368261,0.004147533419637614
mean_offline_duration,1800,PUSH,10,0.10210720079270685,0.004709393244336494,0.0029189121737045833,3349.0138471168707,36.13317035566394,22.395571011727785,272.2432628631592,22.789555844958958,14.125113053399991,557.5542023437499,46.673010370475936,28.928231533363174,0.10049667404388615,0.0007802323596532153,0.00048359302669167723,0.9936819482290643,0.004223039209184326,0.0026174668196468714
mean_offline_duration,1800,GOSSIP,10,0.05170487239585893,0.0034232174949911545,0.0021217321852203853,16647.86366949115,349.3074233999135,216.50298406351067,43.62660179138184,5.529422933419607,3.4271718407312037,68.72867728365385,8.710967821264118,5.399113792167311,0.08761926023365382,0.006373788348757021,0.003950514947159502,0.9754654835905889,0.01462175451875762,0.00906265734275812
mean_offline_duration,1800,MIXED,10,0.00047684962365821025,0.00023561356328686515,0.00014603479949248555,423.8533960569554,4.666132606001586,2.892098952271047,480.8821399688721,38.19534630326193,23.673720906091216,757.5743251201924,60.17236094544649,37.29521570436524,0.0014474860504310857,0.0008725443384850213,0.0005408085839431256,0.9989892155723668,0.0016619158560298316,0.001030066119382138
mean_offline_duration,3600,PULL,10,0.1458784108856941,0.004382180303299001,0.002716103491686655,28426.198538553737,194.75365926150724,120.70956860006693,11.275562286376953,0.4893980214644016,0.30333203632066646,23.0923515625,1.0022871479590942,0.6212240103847247,0.16435688858481146,0.0015007357286592263,0.0009301656414368948,0.9499262656277873,0.007443776571849534,0.0046137005186471305
mean_offline_duration,3600,PUSH,10,0.10696976884082263,0.004068486971279397,0.0025216743501527373,8158.708747517527,93.67272134244709,58.058954197406045,210.66054992675782,16.901241058975675,10.47549773786419,431.43280625000006,34.61374168878218,21.453819367145858,0.10154585224241919,0.0009295783332976664,0.0005761586201656982,0.984495685385696,0.0040900864989525795,0.0025350618761036323
mean_offline_duration,3600,GOSSIP,10,0.052853990478842275,0.0021169233649057585,0.0013120826951654708,16776.064793400055,181.25764513721717,112.3446523826213,45.381273651123045,4.945322560115033,3.0651426786189786,71.49296033653846,7.79078507931968,4.828778619855129,0.09202018428179784,0.006463052975620346,0.004005841736092641,0.966875218731859,0.016221009789991078,0.010053886029315225
mean_offline_duration,3600,MIXED,10,0.0009413783429901847,0.0004276797392903408,0.00026507864871183834,638.9402100894006,5.5836507651686125,3.4607825990674566,498.79722862243653,38.7410081680617,24.011925633803394,785.7974801682692,61.03198825245413,37.828018229253345,0.0015509035820666039,0.0009285264733269025,0.0005755066706014124,0.9986786565661557,0.0020249670771070425,0.0012550875975003639
mean_offline_duration,7200,PULL,10,0.15222431660419974,0.004397768874040151,0.0027257653879323588,36048.655196855136,183.01468815846383,113.43367892985374,10.209103775024413,0.4488360851414296,0.27819148772355434,20.90824453125,0.9192163023696475,0.5697361668578391,0.2414391786616587,0.0022683748626143216,0.001405953305974826,0.9382304367849177,0.009069369310113611,0.005621253336393039
mean_offline_duration,7200,PUSH,10,0.11543041462329051,0.004012336233114073,0.002486871762071913,18356.78282428619,217.40963893323635,134.75189028355396,143.10271148681642,10.930428963418152,6.774750060106628,293.07435312499996,22.385518517080385,13.874688123098382,0.11431080382506884,0.0011675181860895441,0.0007236352688314097,0.9678643802602453,0.00609509925857179,0.0037777816594905234
mean_offline_duration,7200,GOSSIP,10,0.054527115975829835,0.003291449560889612,0.0020400615735305595,17306.119718544065,359.51794700995526,222.8315321627994,41.23240776062012,3.6713921537187844,2.275552432326787,64.95690084134614,5.783854716012364,3.5848702933886627,0.10830229066403829,0.012164782831531919,0.007539810513834832,0.963855802308341,0.014074570019046313,0.008723508876150336
mean_offline_duration,7200,MIXED,10,0.0015713946186308493,0.0005421715159316808,0.0003360413870708342,884.5237099087993,9.09888360365777,5.639546485054587,510.3235153198242,38.115748836248535,23.624385884909696,803.9558149038462,60.04696432049001,37.21749407099621,0.0016032603874415797,0.0009207525169148874,0.0005706883224976161,0.9983427447148362,0.0023703818652626506,0.0014691779012433132
mean_offline_duration,14400,PULL,10,0.16686209169660757,0.0052811941317065965,0.003273318035454789,54399.1523723652,488.8234011439998,302.9758829562185,8.420884704589843,0.37827772842648005,0.2344589651486906,17.245971875000002,0.7747127878174301,0.48017196062451767,0.3700308492232806,0.002230862456055892,0.0013827028755080063,0.908067379136017,0.012223458699511273,0.007576178193589244
mean_offline_duration,14400,PUSH,10,0.1349812899070106,0.005332688718689187,0.0033052347111335798,39202.68290775809,389.14953852086666,241.19738285735667,86.86686668395996,7.001036725128295,4.339287518642753,177.90334296875,14.33812321306275,8.88686083818036,0.20303311262689752,0.000915316661910738,0.0005673191446602831,0.9327333288338189,0.0072240346385540905,0.004477503057341302
mean_offline_duration,14400,GOSSIP,10,0.058043471163250634,0.005649505628305246,0.0035015998661194997,18034.461542489,607.0688282703865,376.2651579895113,38.37689628601074,3.573951327558457,2.215157982566777,60.45837199519231,5.630347937569013,3.4897258063821215,0.13897622997214726,0.026359426004518533,0.01633774150183428,0.9718212584539232,0.015147393919368637,0.009388452018593998
mean_offline_duration,14400,MIXED,10,0.0020381701184353875,0.000568929252413808,0.00035262600396439845,1158.0332525732924,6.61364628319457,4.099180435145957,511.5427188873291,36.400886288909234,22.561503066262436,805.8765294471153,57.3453962459124,35.54304483054268,0.0017010424347986726,0.000991132635687373,0.0006143103720512049,0.9978830166482459,0.0024659984841395935,0.00152844169561513
mean_offline_duration,28800,PULL,10,0.20129224442814797,0.007285026899098549,0.004515306452082033,95201.69762885958,1611.623681627443,998.8947067417207,6.162742233276367,0.3156368251191618,0.19563373103695658,12.62129609375,0.6464242178440436,0.4006578811636872,0.531833805247444,0.003268163177277865,0.0020256285234369776,0.8439030974373048,0.015136576144063907,0.00938174709199494
