sweep_dim,sweep_value,strategy,far_mean,far_std,far_ci95,delay_mean_mean,delay_mean_std,delay_mean_ci95,bandwidth_mb_mean,bandwidth_mb_std,bandwidth_mb_ci95,bandwidth_per_node_kb_mean,bandwidth_per_node_kb_std,bandwidth_per_node_kb_ci95,expired_ttl_rate_mean,expired_ttl_rate_std,expired_ttl_rate_ci95,coverage_rate_mean,coverage_rate_std,coverage_rate_ci95,n_runs
offline_ratio,0.0,PULL,,,,,,,,,,,,,,,,,,,0
offline_ratio,0.0,PUSH,,,,,,,,,,,,,,,,,,,0
offline_ratio,0.0,GOSSIP,,,,,,,,,,,,,,,,,,,0
offline_ratio,0.0,MIXED,,,,,,,,,,,,,,,,,,,0
offline_ratio,0.1,PULL,0.1420619639735669,0.0048757856396798496,0.003022043248809358,16245.683870157844,988.6704770385693,612.7843103101881,11.9666259765625,0.6134204946942523,0.3802019616255697,24.507649999999995,1.256285173133829,0.7786536174091668,0.10660799142147175,0.001515687807244286,0.0009394330357570875,0.9712490007879684,0.009737435669917537,0.006035325156116161,10
offline_ratio,0.1,PUSH,0.1007491285745645,0.003597137898712735,0.0022295291682582845,261.57109379178786,4.807191870915023,2.979528390461372,337.3144729614258,29.494143989954594,18.280659838463684,690.820040625,60.404006891426995,37.43879134917362,0.1000579799193729,0.0013368404027925018,0.0008285822660284004,0.9995210908254386,0.001063815333674564,0.0006593595749878341,10
offline_ratio,0.1,GOSSIP,0.051424422515812064,0.002926669168228627,0.0018139683437610199,16795.555177674556,225.77063627410843,139.9340901246763,36.99510307312012,2.583643560072357,1.6013588691235237,58.28151622596154,4.070232316175529,2.5227561261269056,0.08316005877739614,0.005307380126096067,0.0032895482829279447,0.9766456450692299,0.010542957913180207,0.00653459301506526,10
offline_ratio,0.1,MIXED,0.00018852731644936264,0.00019611131939852543,0.00012155105507106011,93.20654137909386,2.0939590622301627,1.2978492729043243,448.31177558898924,37.073096507261745,22.978143276123316,706.2634741586538,58.40438588220929,36.19941340730813,0.001467862614241592,0.0009378174144123443,0.0005812652555469534,0.9998447204968943,0.000491036903752846,0.0003043478260869516,10
offline_ratio,0.15,PULL,0.14057155866037446,0.005136839266236124,0.003183845962876868,18238.881092304295,1666.3163420061617,1032.7935688475172,11.995913314819337,0.6065206595895665,0.3759253995211326,24.56763046875,1.2421543108394322,0.7698952182192794,0.10820348582205067,0.0009767891098458837,0.0006054201626292334,0.9712490007879684,0.009737435669917537,0.006035325156116161,10
offline_ratio,0.15,PUSH,0.09909124621907443,0.0032420187329928554,0.002009424028985377,674.8481230772107,4.992195626575248,3.0941949062014014,326.7622009277344,28.066328341412145,17.39569053093166,669.2089874999999,57.479840443212076,35.626374207348036,0.09947367365552431,0.0009601874034577682,0.0005951303184037981,0.9986786565661557,0.0020249670771070425,0.0012550875975003639,10
