sweep_dim,sweep_value,strategy,far,delay_mean,bandwidth_mb,expired_ttl_rate,coverage_rate
network_size,50,PULL,0.16743718592964824,,0.6095733642578125,0.47290004692632565,0.0
network_size,50,PUSH,0.039597989949748745,38700.327257583696,6.435436248779297,0.26055842327545753,0.986
network_size,50,GOSSIP,0.07503100454733361,25351.78988600103,1.894439697265625,0.42385364694701827,1.0
network_size,50,MIXED,0.0012401818933443572,1337.1510563793527,33.2767333984375,0.14682822523164646,1.0
network_size,100,PULL,0.17878728797036458,,1.6671066284179688,0.3684024505183789,0.0
network_size,100,PUSH,0.04269838175082862,43169.446597331735,19.075939178466797,0.13283459000942507,0.9255150554675119
network_size,100,GOSSIP,0.07222114074362468,23937.426538962525,5.128292083740234,0.3345970993560811,0.9809825673534073
network_size,100,MIXED,0.002725326065797158,1508.8439034942282,103.41436767578125,0.0013239453571643497,0.9968304278922345
network_size,200,PULL,0.16580022279985146,,3.491954803466797,0.371407274895647,0.0
network_size,200,PUSH,0.038804307463795026,40739.38702446148,41.24820327758789,0.12376267143709004,0.9357798165137615
network_size,200,GOSSIP,0.06539811564751524,21410.161797008066,11.880321502685547,0.2396825396825397,0.9480122324159022
network_size,200,MIXED,0.001662663957140218,1541.601324390301,221.88084411621094,0.0014675052410901468,0.9969418960244648
network_size,300,PULL,0.16939700243987452,,5.531154632568359,0.37175188600167647,0.0
network_size,300,PUSH,0.03834088532589752,40147.09822326907,66.95454406738281,0.12004550353251107,0.9497041420118343
network_size,300,GOSSIP,0.061189114231235915,19413.229441053827,22.792476654052734,0.19204128212761734,0.9497041420118343
network_size,300,MIXED,0.001733402669440111,1558.054698728234,354.83355712890625,0.001448843901954947,0.9985207100591716
network_size,500,PULL,0.17742537313432835,,8.411964416503906,0.3743740163113464,0.0
network_size,500,PUSH,0.03861940298507463,41688.65158668732,98.54741668701172,0.12962035579720513,0.9388714733542319
network_size,500,GOSSIP,0.05855338691159587,19132.987253732874,41.36171340942383,0.1768813033359193,0.9796238244514106
network_size,500,MIXED,0.0009567546880979717,1535.9455636793464,537.5249214172363,0.0012770782359610908,0.9984326018808778
network_size,750,PULL,0.17661884451337728,,12.56344985961914,0.3730917244450099,0.0
network_size,750,PUSH,0.04226444358278403,40713.93147229991,149.35894775390625,0.1239743018891928,0.9280125195618153
network_size,750,GOSSIP,0.06783580651377914,18090.023091733226,62.76527786254883,0.11191817726669474,0.9483568075117371
network_size,750,MIXED,0.002505299672383889,1549.24933035618,800.4381904602051,0.0013589439972026417,0.9953051643192489
network_size,1000,PULL,0.16432978126752665,,17.342025756835938,0.36953557631355477,0.0
network_size,1000,PUSH,0.0355206580669284,40456.040302738045,209.8337287902832,0.12136253274169048,0.9403669724770642
network_size,1000,GOSSIP,0.054078826764436295,18042.75733080542,97.41382598876953,0.10943690754940688,0.9694189602446484
network_size,1000,MIXED,0.002383134738771769,1551.5254135663374,1106.6018562316895,0.0015967493044011893,0.9984709480122325
network_size,1500,PULL,0.1637516817220834,,25.292930603027344,0.3722720264492235,0.0
network_size,1500,PUSH,0.03613300019219681,41096.68696344661,294.7018280029297,0.12440592564334875,0.9354330708661417
network_size,1500,GOSSIP,0.05864137797561448,17748.53980681954,142.1815643310547,0.11068986554475371,0.9622047244094488
network_size,1500,MIXED,0.0019353590090961873,1563.5354495022493,1584.4816284179688,0.0015687765919517008,0.9968503937007874
network_size,2000,PULL,0.16660384470410855,,34.145233154296875,0.3704257729904627,0.0
network_size,2000,PUSH,0.034489257444402566,40702.88208059411,412.2321357727051,0.12195361313749223,0.9445300462249615
network_size,2000,GOSSIP,0.05252219913092764,17483.606980425568,228.06057357788086,0.10525829791163391,0.9768875192604006
network_size,2000,MIXED,0.0020782165123748348,1547.6242247420457,2184.319404602051,0.0013850951843368076,0.9907550077041603
network_size,3000,PULL,0.16845180136319376,,49.8846549987793,0.3701726314115624,0.0
network_size,3000,PUSH,0.04148003894839338,41242.31145270664,571.7437629699707,0.12457885687593795,0.9452495974235104
network_size,3000,GOSSIP,0.05422740524781341,17265.073157694027,365.5188331604004,0.10113296795398848,0.9903381642512077
network_size,3000,MIXED,0.0013605442176870747,1564.7112053905416,3062.691032409668,0.0015349117774119119,0.998389694041868
network_size,5000,PULL,0.16702470461868957,,88.53368377685547,0.37218557890871284,0.0
network_size,5000,PUSH,0.03168635875402793,41112.67254822816,1090.4014778137207,0.12312868718374277,0.9361069836552749
network_size,5000,GOSSIP,0.052783282291479015,17343.549803028316,739.3019866943359,0.09743705812630664,0.9658246656760773
