ttl,dead_ratio,strategy,n_runs,far_mean,far_std,far_ci95,delay_mean_mean,delay_mean_std,delay_mean_ci95,bandwidth_mb_mean,bandwidth_mb_std,bandwidth_mb_ci95,bandwidth_per_node_kb_mean,bandwidth_per_node_kb_std,bandwidth_per_node_kb_ci95,expired_ttl_rate_mean,expired_ttl_rate_std,expired_ttl_rate_ci95,coverage_rate_mean,coverage_rate_std,coverage_rate_ci95
3600,0.0,PULL,5,0.044416957160567996,0.00401217628329241,0.0035168275716044783,42864.934039912434,481.17287371837745,421.76661978877985,34.8453125,1.634371810180297,1.4325900554844304,71.36319999999999,3.3471934672492485,2.9339444336321137,0.7380693777729272,0.004374968257708435,0.0038348287580668326,0.9258102110026731,0.014683968727771867,0.012871066083873367
3600,0.0,PUSH,5,0.03749579036964894,0.004408559893652156,0.003864273125193502,39615.141757487974,318.543786257972,279.2159394741315,95.14928436279297,9.314827310780835,8.164806129706381,194.865734375,19.076766332479153,16.721522953638672,0.6675818129450404,0.006721763965052417,0.005891885892589764,0.931186585840762,0.011607539284572133,0.010174456781586605
3600,0.0,GOSSIP,5,0.02000406640901744,0.004221723956788922,0.00370050420585081,6166.003304258795,173.82584817285132,152.36507380233286,229.17169723510742,34.73118264211722,30.44322384808006,361.0335661057692,54.714970808504674,47.95978649297536,0.8039398794952014,0.011710465705485371,0.010264675767332965,0.9888345022320655,0.007614650876454355,0.0066745357779946736
3600,0.0,MIXED,5,0.0021004930320883417,0.0006054570186813955,0.0005307064760805765,1541.2639255212712,24.665954853718095,21.620662698878977,503.4665412902832,43.00914734665071,37.69917983159495,793.1534435096153,67.75594905072357,59.39070791931266,0.05711592879231846,0.008126933237639121,0.007123571065841702,0.9966770522096313,0.0024673959597146505,0.002162767916585474
3600,0.1,PULL,5,0.1394735542916719,0.0071780089573929414,0.006291802260958539,42188.89559301678,540.68420071938,473.9305978501203,31.52669448852539,1.367804461819725,1.1989334725701168,64.56667031250001,2.8012635378067965,2.455415751823599,0.7631517060014487,0.0026055999643376723,0.0022839090678325844,0.9283583315376724,0.013466680874509938,0.01180406623574661
3600,0.1,PUSH,5,0.1339371140140717,0.006301323239249193,0.005523353347574863,39002.47036587801,383.5164876687754,336.1670232723819,86.15833206176758,8.35540409081978,7.323834598408719,176.4522640625,17.111867577998908,14.999213257541053,0.7003416068631961,0.004603826810818315,0.00403543212460532,0.9340679994777252,0.009569473548866751,0.008388013398747667
3600,0.1,GOSSIP,5,0.023196099161096464,0.007302091233383735,0.006400565171294515,6442.208224642678,977.2587610273415,856.6050723356282,215.07557373046876,41.06579778987695,35.995758840102795,338.82675000000006,64.69442605666771,56.70716469579272,0.8614432054259824,0.027180938579032816,0.023825143131145855,0.9861900418186572,0.016172893158440435,0.01417616589008472
3600,0.1,MIXED,5,0.0025022938316720763,0.0010803824709063883,0.0009469969894851821,1157.9279707581532,7.452172602015607,6.532117291122006,503.14575958251953,42.48567388526975,37.240335111921496,792.6480889423076,66.93127701310188,58.66785100708862,0.06055865014339351,0.008586438381875408,0.0075263450833427895,0.9976526619657289,0.002655971678837492,0.0023280618223163892
3600,0.2,PULL,5,0.23650124346395715,0.0036284321228234363,0.003180460984323811,42511.468254517255,758.2919868646803,664.6722323337386,27.980622863769533,1.2783541850390212,1.1205268479708896,57.304315625,2.618069370959916,2.2948389846443824,0.7899936265963319,0.001694236728691757,0.0014850639701700014,0.9298786463945147,0.010959059617471149,0.009606039291462224
3600,0.2,PUSH,5,0.23171704671280047,0.003571126670767224,0.0031302305409024248,39259.18678946327,597.6211802004958,523.8380608190083,76.4502067565918,7.560509465897866,6.627078739229075,156.57002343749997,15.483923386158827,13.572257257941144,0.7341314626778493,0.0030754986610112135,0.002695793435726417,0.9354027481218884,0.010513075964588831,0.009215117383700401
