sweep_dim,sweep_value,strategy,far,delay_mean,bandwidth_mb,expired_ttl_rate,coverage_rate
revocation_rate,1e-05,PULL,0.20930232558139536,,10.650825500488281,0.8101063576095769,0.0
revocation_rate,1e-05,PUSH,0.09302325581395349,77150.89382069984,0.263671875,0.785377021033052,0.625
revocation_rate,1e-05,GOSSIP,0.04040404040404041,8589.190461810622,0.85626220703125,0.702703347854628,1.0
revocation_rate,1e-05,MIXED,0.010101010101010102,1507.6484274057839,0.7651748657226562,0.6855642418093931,1.0
revocation_rate,0.0001,PULL,0.17553191489361702,,4.958946228027344,0.47683264177040113,0.0
revocation_rate,0.0001,PUSH,0.03900709219858156,55611.10198226878,2.634166717529297,0.3261196165402776,0.9491525423728814
revocation_rate,0.0001,GOSSIP,0.03298611111111111,14606.539656080751,5.705760955810547,0.16653338903144954,1.0
revocation_rate,0.0001,MIXED,0.003472222222222222,1470.6991125218449,10.749130249023438,0.10696425374470371,1.0
revocation_rate,0.001,PULL,0.17742537313432835,,8.411964416503906,0.3743740163113464,0.0
revocation_rate,0.001,PUSH,0.03861940298507463,41688.65158668732,98.54741668701172,0.12962035579720513,0.9388714733542319
revocation_rate,0.001,GOSSIP,0.04649827784156142,16525.004809912396,56.432151794433594,0.058817210717908935,0.9639498432601881
revocation_rate,0.001,MIXED,0.0007654037504783774,1488.6376510429407,535.9927787780762,5.967655308229397e-05,0.9984326018808778
revocation_rate,0.01,PULL,0.15994,,515.6433944702148,0.4542495349835456,0.0
revocation_rate,0.01,PUSH,0.03406,40773.8028881777,4948.700149536133,0.23792149568369342,0.9894
revocation_rate,0.01,GOSSIP,0.042403323232525936,16530.989674568624,559.7536392211914,0.18540311511607088,1.0
revocation_rate,0.01,MIXED,0.001685697658084325,1485.4345897207284,11030.168678283691,0.13770961389270156,1.0
revocation_rate,0.05,PULL,0.14045773826494906,,2726.9978942871094,0.8654313921877236,0.0
revocation_rate,0.05,PUSH,0.030196210569969673,41577.09836928894,4957.547256469727,0.8148161396480184,0.9366
revocation_rate,0.05,GOSSIP,0.027791820597575994,17095.88958800066,147.87920379638672,0.8049173479739811,1.0
revocation_rate,0.05,MIXED,0.000699980556095664,1459.075780275705,6273.105926513672,0.7929104254938235,1.0
revocation_rate,0.1,PULL,0.13905836450165887,,2988.754405975342,0.9151285353174036,0.0
revocation_rate,0.1,PUSH,0.035823899996272224,42382.655089366315,4917.394638061523,0.8870129250727333,0.8918
revocation_rate,0.1,GOSSIP,0.0293372101692388,18805.648585073857,76.67517471313477,0.8812555946768514,1.0
revocation_rate,0.1,MIXED,0.0009070801958299163,1435.1510266658674,5576.362548828125,0.8743092438980724,1.0
revocation_rate,0.5,PULL,0.1480987244683281,,3220.6879348754883,0.9561930652930796,0.0
revocation_rate,0.5,PUSH,0.07708491121770597,,6503.907417297363,0.9457242333190251,0.0
revocation_rate,0.5,GOSSIP,0.041853584615199585,27143.352954281734,24.56671142578125,0.9429372799427105,1.0
revocation_rate,0.5,MIXED,0.0005772908222786149,1209.302025057314,6602.096042633057,0.9385331503252372,1.0
revocation_rate,1.0,PULL,0.14783951725871916,,3246.8456535339355,0.9600682024133161,0.0
revocation_rate,1.0,PUSH,0.08870610490523569,,9062.915874481201,0.9539872180092527,0.0
revocation_rate,1.0,GOSSIP,0.047177496645581754,29604.397360373743,24.5284423828125,0.9508265202601898,1.0
revocation_rate,1.0,MIXED,0.000539102932719954,1043.2588641537423,9275.32548904419,0.9465536790594975,1.0
