sweep_dim,sweep_value,strategy,far,delay_mean,bandwidth_mb,expired_ttl_rate,coverage_rate
revocation_rate,1e-06,PULL,0.0,,0.051914215087890625,0.9420994896742501,0.0
revocation_rate,1e-06,PUSH,0.0,,0.052951812744140625,0.9392855439500167,0.0
revocation_rate,1e-06,GOSSIP,0.0,4740.211154806078,0.1623687744140625,0.9230649877663066,1.0
revocation_rate,1e-06,MIXED,0.0,1625.0187335525407,0.15530014038085938,0.9180640926180104,1.0
revocation_rate,5e-06,PULL,0.21875,,0.2275390625,0.8127533743501694,0.0
revocation_rate,5e-06,PUSH,0.125,165283.91139948784,0.24343109130859375,0.7877021033051939,0.7142857142857143
revocation_rate,5e-06,GOSSIP,0.013888888888888888,13427.69197696299,0.7665138244628906,0.7614131407769887,1.0
revocation_rate,5e-06,MIXED,0.0,1612.7180163083976,0.7125968933105469,0.6852061824908994,1.0
revocation_rate,1e-05,PULL,0.20930232558139536,,0.23650741577148438,0.8101063576095769,0.0
revocation_rate,1e-05,PUSH,0.09302325581395349,77150.89382069984,0.263671875,0.785377021033052,0.625
revocation_rate,1e-05,GOSSIP,0.050505050505050504,11083.266385646632,0.7882957458496094,0.7351554574207794,1.0
revocation_rate,1e-05,MIXED,0.010101010101010102,1600.482830276649,0.8027915954589844,0.6890851584412484,1.0
revocation_rate,5e-05,PULL,0.15789473684210525,,0.7609786987304688,0.5927886679067106,0.0
revocation_rate,5e-05,PUSH,0.04912280701754386,75381.70297828883,1.1177330017089844,0.5165378928792865,0.8064516129032258
revocation_rate,5e-05,GOSSIP,0.041935483870967745,13143.738282697144,2.715007781982422,0.4409619860356866,1.0
revocation_rate,5e-05,MIXED,0.0032258064516129032,1588.7321489992607,4.1770477294921875,0.30976905173957153,1.0
revocation_rate,0.0001,PULL,0.17553191489361702,,1.3462448120117188,0.47683264177040113,0.0
revocation_rate,0.0001,PUSH,0.03900709219858156,55611.10198226878,2.634166717529297,0.3261196165402776,0.9491525423728814
revocation_rate,0.0001,GOSSIP,0.04513888888888889,17256.418790328546,4.873497009277344,0.2605000895148296,0.9830508474576272
revocation_rate,0.0001,MIXED,0.003472222222222222,1532.8911756233535,10.903419494628906,0.11044936444470968,1.0
revocation_rate,0.0005,PULL,0.17477263740608937,,4.327545166015625,0.38169504459388565,0.0
revocation_rate,0.0005,PUSH,0.033610122578094107,43206.733247123266,26.826637268066406,0.1470763580865169,0.9461279461279462
revocation_rate,0.0005,GOSSIP,0.05591054313099041,18429.677439689935,20.72848892211914,0.18762308289073223,0.98989898989899
revocation_rate,0.0005,MIXED,0.0023961661341853034,1550.5212421813956,148.94053268432617,0.0020409381154144536,1.0
revocation_rate,0.001,PULL,0.17742537313432835,,8.411964416503906,0.3743740163113464,0.0
revocation_rate,0.001,PUSH,0.03861940298507463,41688.65158668732,98.54741668701172,0.12962035579720513,0.9388714733542319
revocation_rate,0.001,GOSSIP,0.05855338691159587,19132.987253732874,41.36171340942383,0.1768813033359193,0.9796238244514106
revocation_rate,0.001,MIXED,0.0009567546880979717,1535.9455636793464,537.5249214172363,0.0012770782359610908,0.9984326018808778
revocation_rate,0.005,PULL,0.1691388942400308,,39.34553146362305,0.36865073687222777,0.0
revocation_rate,0.005,PUSH,0.03949142747062223,40863.0704789565,1867.1555480957031,0.11841226689559785,0.9409255004922875
revocation_rate,0.005,GOSSIP,0.06027545651501083,19706.216921709325,191.18991470336914,0.17380199319687295,0.9691499835904168
revocation_rate,0.005,MIXED,0.0018956979263385948,1510.1145279876196,5884.048141479492,0.00044160649280897536,0.9973744666885461
revocation_rate,0.01,PULL,0.15994,,60.777549743652344,0.4542495349835456,0.0
revocation_rate,0.01,PUSH,0.03406,40773.8028881777,4948.700149536133,0.23792149568369342,0.9894
revocation_rate,0.01,GOSSIP,0.052156288254299535,20032.47234930162,300.9928283691406,0.2925941397624873,1.0
revocation_rate,0.01,MIXED,0.0017258333166101424,1496.5671023703146,10936.258609771729,0.13797219072626365,1.0
revocation_rate,0.05,PULL,0.14045773826494906,,18.64031982421875,0.8654313921877236,0.0
revocation_rate,0.05,PUSH,0.030196210569969673,41577.09836928894,4957.547256469727,0.8148161396480184,0.9366
revocation_rate,0.05,GOSSIP,0.03633417590252123,21853.88690683004,56.468509674072266,0.8344811123709495,1.0
revocation_rate,0.05,MIXED,0.0007129431589863245,1462.2896405922231,6250.605133056641,0.7930775198424539,1.0
revocation_rate,0.1,PULL,0.13905836450165887,,13.451122283935547,0.9151285353174036,0.0
revocation_rate,0.1,PUSH,0.035823899996272224,42382.655089366315,4917.394638061523,0.8870129250727333,0.8918
revocation_rate,0.1,GOSSIP,0.03302765973309476,21303.70541710938,52.98456954956055,0.8921644685802949,1.0
revocation_rate,0.1,MIXED,0.0009070801958299163,1436.9218619473593,5565.689197540283,0.8744524676254699,1.0
revocation_rate,0.15,PULL,0.14019949819472494,,11.711662292480469,0.931952592168646,0.0
revocation_rate,0.15,PUSH,0.04518695306284805,47692.856586900154,4958.120101928711,0.9114680211761339,0.8834
revocation_rate,0.15,GOSSIP,0.027717504566461944,18420.834249727446,67.28084945678711,0.9111774183923137,1.0
revocation_rate,0.15,MIXED,0.0007723143687249457,1391.1386385187702,5537.440517425537,0.900650474428597,1.0
revocation_rate,0.2,PULL,0.14304825841603425,,9.428359985351562,0.9411456097677302,0.0
revocation_rate,0.2,PUSH,0.052636699747032493,52037.474592729115,5113.498847961426,0.9236776839795869,0.8238
revocation_rate,0.2,GOSSIP,0.03169249875202416,20947.547844715322,24.91497802734375,0.9224443516142508,1.0
revocation_rate,0.2,MIXED,0.0007305224453021319,1373.6214140732861,5519.063800811768,0.9143641463269082,1.0
revocation_rate,0.25,PULL,0.1452367107622232,,9.435741424560547,0.9464157962512519,0.0
revocation_rate,0.25,PUSH,0.061673208315162084,61089.87372126061,5294.314823150635,0.9307244717890018,0.7618
revocation_rate,0.25,GOSSIP,0.0355206830061,23408.592250807313,24.91497802734375,0.9306439100077579,1.0
revocation_rate,0.25,MIXED,0.0007640160564644248,1346.6080883684206,5456.499237060547,0.9225637047204154,1.0
revocation_rate,0.3,PULL,0.14628222015443923,,9.381633758544922,0.9498497639147231,0.0
revocation_rate,0.3,PUSH,0.06689949366170801,54572.29893793233,5537.705963134766,0.9356369533075786,0.4132
revocation_rate,0.3,GOSSIP,0.03828480216697301,25049.28852153531,24.91497802734375,0.9359193173002327,1.0
revocation_rate,0.3,MIXED,0.0007497339653671277,1309.6809424984249,5675.3134765625,0.9278391120128902,1.0
revocation_rate,0.35,PULL,0.14694635770376716,,9.32309341430664,0.9521271521915391,0.0
revocation_rate,0.35,PUSH,0.06987852981266812,54338.42132503987,5804.216239929199,0.9390589974722182,0.431
revocation_rate,0.35,GOSSIP,0.04019985276547471,26221.21442919818,24.91497802734375,0.9399653875992122,1.0
revocation_rate,0.35,MIXED,0.0007723778375834228,1269.142916869418,5947.755302429199,0.9318851823118697,1.0
revocation_rate,0.4,PULL,0.14727636302310454,,9.349449157714844,0.9538560595221062,0.0
revocation_rate,0.4,PUSH,0.07130122629917846,58428.97657970506,6063.097312927246,0.9417417847093051,0.4304
revocation_rate,0.4,GOSSIP,0.0417264106611401,27100.158859945328,24.91497802734375,0.942638897177299,1.0
revocation_rate,0.4,MIXED,0.000771149374043594,1243.5613839868763,6161.872245788574,0.9345586918899564,1.0
revocation_rate,0.45,PULL,0.1476877534566371,,9.296947479248047,0.9552630323842228,0.0
revocation_rate,0.45,PUSH,0.0765454085991745,,6281.651355743408,0.944066866981447,0.0
revocation_rate,0.45,GOSSIP,0.04261466233297219,27783.782306081994,24.91497802734375,0.9447872530882616,1.0
revocation_rate,0.45,MIXED,0.0006019020103527145,1218.1833407347735,6379.465221405029,0.936730918422152,1.0
revocation_rate,0.5,PULL,0.1480987244683281,,9.283790588378906,0.9561930652930796,0.0
revocation_rate,0.5,PUSH,0.07708491121770597,,6503.907417297363,0.9457242333190251,0.0
revocation_rate,0.5,GOSSIP,0.0435012688371198,28330.68106299132,24.91497802734375,0.946720773408128,1.0
revocation_rate,0.5,MIXED,0.0005772908222786149,1215.7246362736373,6601.177707672119,0.9386763740526347,1.0
revocation_rate,0.6,PULL,0.14843449865539762,,9.34885025024414,0.9574808031668813,0.0
revocation_rate,0.6,PUSH,0.0788033038801383,,7023.2746505737305,0.948287785567797,0.0
revocation_rate,0.6,GOSSIP,0.04636246802070697,29151.02919835532,24.876708984375,0.9495136360923793,1.0
revocation_rate,0.6,MIXED,0.0005765280997393613,1171.4877414604132,7341.533164978027,0.941516977979352,1.0
revocation_rate,0.6,PULL,0.14843449865539762,,9.34885025024414,0.9574808031668813,0.0
revocation_rate,0.6,PUSH,0.0788033038801383,,7023.2746505737305,0.948287785567797,0.0
revocation_rate,0.6,GOSSIP,0.04636246802070697,29151.02919835532,24.876708984375,0.9495136360923793,1.0
